,from,to,from_xy,to_xy,walking,driving,lat,long
0,0,1,"(11.255693199999998, 43.772858299999996)","(11.2564189, 43.771534100000004)",126,291.1,43.772858299999996,11.255693199999998
1,0,2,"(11.255693199999998, 43.772858299999996)","(11.250781, 43.7700828)",467.6,589.8,43.772858299999996,11.255693199999998
2,0,3,"(11.255693199999998, 43.772858299999996)","(11.2534118, 43.7769185)",637.2,345.4,43.772858299999996,11.255693199999998
3,0,4,"(11.255693199999998, 43.772858299999996)","(11.255579699999998, 43.763469)",926.3,814.7,43.772858299999996,11.255693199999998
4,0,5,"(11.255693199999998, 43.772858299999996)","(11.2553108, 43.7677856)",449,439.8,43.772858299999996,11.255693199999998
5,0,6,"(11.255693199999998, 43.772858299999996)","(11.255431699999999, 43.7708275)",171.3,98.2,43.772858299999996,11.255693199999998
6,0,7,"(11.255693199999998, 43.772858299999996)","(11.255705099999998, 43.772806)",0,0,43.772858299999996,11.255693199999998
7,0,8,"(11.255693199999998, 43.772858299999996)","(11.2531435, 43.767925)",466.9,469.7,43.772858299999996,11.255693199999998
8,0,9,"(11.255693199999998, 43.772858299999996)","(11.2541477, 43.7681911)",465.9,458.7,43.772858299999996,11.255693199999998
9,0,10,"(11.255693199999998, 43.772858299999996)","(11.250670199999998, 43.767161200000004)",666.1,657.5,43.772858299999996,11.255693199999998
10,0,11,"(11.255693199999998, 43.772858299999996)","(11.2554649, 43.7730912)",635.3,0,43.772858299999996,11.255693199999998
11,0,12,"(11.255693199999998, 43.772858299999996)","(11.24938, 43.77463)",519.4,522.4,43.772858299999996,11.255693199999998
12,0,13,"(11.255693199999998, 43.772858299999996)","(11.26282, 43.76298)",1173.8,712.7,43.772858299999996,11.255693199999998
13,0,14,"(11.255693199999998, 43.772858299999996)","(11.25433, 43.77003)",280.5,156.5,43.772858299999996,11.255693199999998
14,0,15,"(11.255693199999998, 43.772858299999996)","(11.255230000000001, 43.77313)",635.3,0,43.772858299999996,11.255693199999998
15,0,16,"(11.255693199999998, 43.772858299999996)","(11.25564, 43.76968)",335.2,130.7,43.772858299999996,11.255693199999998
16,0,17,"(11.255693199999998, 43.772858299999996)","(11.248335, 43.762288)",1265.7,931.2,43.772858299999996,11.255693199999998
17,0,18,"(11.255693199999998, 43.772858299999996)","(11.264966000000001, 43.762705)",1430.8,696.2,43.772858299999996,11.255693199999998
18,0,19,"(11.255693199999998, 43.772858299999996)","(11.255056, 43.773106)",118.5,0,43.772858299999996,11.255693199999998
19,0,20,"(11.255693199999998, 43.772858299999996)","(11.256192, 43.769292)",349.3,294.2,43.772858299999996,11.255693199999998
20,0,21,"(11.255693199999998, 43.772858299999996)","(11.251878999999999, 43.777276)",586.6,376.1,43.772858299999996,11.255693199999998
21,0,22,"(11.255693199999998, 43.772858299999996)","(11.258814, 43.776761)",702.8,301.6,43.772858299999996,11.255693199999998
