index,from,to,from_xy,to_xy,walking,driving,lat,long
0,0,1,"11.255693199999998, 43.772858299999996","11.2564189, 43.771534100000004",126,291,11.2556932,43.7728583
1,0,2,"11.255693199999998, 43.772858299999996","11.250781, 43.7700828",467.6,708.1,11.2556932,43.7728583
2,0,3,"11.255693199999998, 43.772858299999996","11.2534118, 43.7769185",637.1,656.6,11.2556932,43.7728583
3,0,4,"11.255693199999998, 43.772858299999996","11.255579699999998, 43.763469",926.3,932.9,11.2556932,43.7728583
4,0,5,"11.255693199999998, 43.772858299999996","11.2553108, 43.7677856",449,480.2,11.2556932,43.7728583
5,0,6,"11.255693199999998, 43.772858299999996","11.255431699999999, 43.7708275",171.3,98.2,11.2556932,43.7728583
6,0,7,"11.255693199999998, 43.772858299999996","11.255705099999998, 43.772806",0,0,11.2556932,43.7728583
7,0,8,"11.255693199999998, 43.772858299999996","11.2531435, 43.767925",466.9,525.3,11.2556932,43.7728583
8,0,9,"11.255693199999998, 43.772858299999996","11.2541477, 43.7681911",465.9,502.7,11.2556932,43.7728583
9,0,10,"11.255693199999998, 43.772858299999996","11.250670199999998, 43.767161200000004",666.1,720.1,11.2556932,43.7728583
10,0,11,"11.255693199999998, 43.772858299999996","11.2554649, 43.7730912",635.4,0,11.2556932,43.7728583
11,0,12,"11.255693199999998, 43.772858299999996","11.24938, 43.77463",519.4,920,11.2556932,43.7728583
12,0,-1,"11.255693199999998, 43.772858299999996","11.251184, 43.770312",451.3,690.8,11.2556932,43.7728583
13,1,0,"11.2564189, 43.771534100000004","11.255693199999998, 43.772858299999996",126,96.8,11.2564189,43.7715341
14,1,2,"11.2564189, 43.771534100000004","11.250781, 43.7700828",418.7,697.4,11.2564189,43.7715341
15,1,3,"11.2564189, 43.771534100000004","11.2534118, 43.7769185",699.5,709.2,11.2564189,43.7715341
16,1,4,"11.2564189, 43.771534100000004","11.255579699999998, 43.763469",873.8,922.2,11.2564189,43.7715341
17,1,5,"11.2564189, 43.771534100000004","11.2553108, 43.7677856",372.8,469.5,11.2564189,43.7715341
18,1,6,"11.2564189, 43.771534100000004","11.255431699999999, 43.7708275",104.2,87.5,11.2564189,43.7715341
19,1,7,"11.2564189, 43.771534100000004","11.255705099999998, 43.772806",126,96.8,11.2564189,43.7715341
20,1,8,"11.2564189, 43.771534100000004","11.2531435, 43.767925",414.4,514.6,11.2564189,43.7715341
21,1,9,"11.2564189, 43.771534100000004","11.2541477, 43.7681911",413.4,492,11.2564189,43.7715341
22,1,10,"11.2564189, 43.771534100000004","11.250670199999998, 43.767161200000004",613.6,709.4,11.2564189,43.7715341
23,1,11,"11.2564189, 43.771534100000004","11.2554649, 43.7730912",650,96.8,11.2564189,43.7715341
24,1,12,"11.2564189, 43.771534100000004","11.24938, 43.77463",581.2,828,11.2564189,43.7715341
25,1,-1,"11.2564189, 43.771534100000004","11.251184, 43.770312",402.4,680.1,11.2564189,43.7715341
26,2,0,"11.250781, 43.7700828","11.255693199999998, 43.772858299999996",467.6,284.2,11.250781,43.7700828
27,2,1,"11.250781, 43.7700828","11.2564189, 43.771534100000004",418.7,524.1,11.250781,43.7700828
28,2,3,"11.250781, 43.7700828","11.2534118, 43.7769185",731.7,889.7,11.250781,43.7700828
29,2,4,"11.250781, 43.7700828","11.255579699999998, 43.763469",735.9,1529.3,11.250781,43.7700828
30,2,5,"11.250781, 43.7700828","11.2553108, 43.7677856",349.4,720.6,11.250781,43.7700828
31,2,6,"11.250781, 43.7700828","11.255431699999999, 43.7708275",323,338.6,11.250781,43.7700828
32,2,7,"11.250781, 43.7700828","11.255705099999998, 43.772806",467.6,284.2,11.250781,43.7700828
33,2,8,"11.250781, 43.7700828","11.2531435, 43.767925",276.5,765.7,11.250781,43.7700828
34,2,9,"11.250781, 43.7700828","11.2541477, 43.7681911",275.5,743.1,11.250781,43.7700828
35,2,10,"11.250781, 43.7700828","11.250670199999998, 43.767161200000004",261.2,643.4,11.250781,43.7700828
36,2,11,"11.250781, 43.7700828","11.2554649, 43.7730912",789.8,284.2,11.250781,43.7700828
37,2,12,"11.250781, 43.7700828","11.24938, 43.77463",483.1,624.9,11.250781,43.7700828
38,2,-1,"11.250781, 43.7700828","11.251184, 43.770312",30.5,17.3,11.250781,43.7700828
39,3,0,"11.2534118, 43.7769185","11.255693199999998, 43.772858299999996",637.1,600.3,11.2534118,43.7769185
40,3,1,"11.2534118, 43.7769185","11.2564189, 43.771534100000004",699.5,840.2,11.2534118,43.7769185
41,3,2,"11.2534118, 43.7769185","11.250781, 43.7700828",731.7,626.6,11.2534118,43.7769185
42,3,4,"11.2534118, 43.7769185","11.255579699999998, 43.763469",1349.5,1205,11.2534118,43.7769185
43,3,5,"11.2534118, 43.7769185","11.2553108, 43.7677856",950.7,1025,11.2534118,43.7769185
44,3,6,"11.2534118, 43.7769185","11.255431699999999, 43.7708275",693.3,654.7,11.2534118,43.7769185
45,3,7,"11.2534118, 43.7769185","11.255705099999998, 43.772806",637.1,600.3,11.2534118,43.7769185
46,3,8,"11.2534118, 43.7769185","11.2531435, 43.767925",890.1,1070.1,11.2534118,43.7769185
47,3,9,"11.2534118, 43.7769185","11.2541477, 43.7681911",889.1,1047.5,11.2534118,43.7769185
48,3,10,"11.2534118, 43.7769185","11.250670199999998, 43.767161200000004",992.9,696.5,11.2534118,43.7769185
49,3,11,"11.2534118, 43.7769185","11.2554649, 43.7730912",409.5,600.3,11.2534118,43.7769185
